,Unnamed: 0,id,text,date,user,retweets,sentiment,tweet_id,relevant,real_sentiment
0,0,172,"via jimcramer: Hey, joker, you really got the point, sunshine. That's exactly what i said, it's all about my wife. How obtuse can you be? That's called shtick, sunshine. The fact is the company's much better run now than when Elon was doing crazy things. $tsla",2019-11-26 18:01:22.000000,FinTwit $TSLA Tweets,0,0.0875,1199402785080512515,0,1
1,2,174,"RT @TheStreet: .@EricJhonsa says though the #Cybertruck has impressive specs, its design and very name are likely to alienate much of its a…",2019-11-26 18:00:58.000000,newtrdr,9,0.35,1199402683926536192,0,-1
2,6,4049,RT @Sandro_power: $TSLA just another win for my Group for 100% gains in $TSLA this week. I keep my group in the best stocks possible in thi…,2019-12-12 12:54:37.000000,Luke M,25,0.6,1205123795482284032,0,1
3,11,4053,"Doesn't sound right, sounds like its too cheap of a repair. We've seen damage like this be $25K+ in body repairs or the vehicle being scrapped entirely.

Getting the parts in February 2020 sounds overly optimistic as well.

$TSLA #TeslaServiceIssues  #WhereAreTheParts https://t.co/Z64iOx0Wle",2019-12-12 12:52:19.000000,Suspected Saboteur,0,0.27142857142857146,1205123217876234242,0,1
4,13,4054,"Tesla  $TSLA up slightly in premarket and climbing to $360 resistance level....Do we see some follow through back to all-time highs or another fail? 
@TDANetwork",2019-12-12 12:52:12.000000,Tom White,0,-0.2222222222222222,1205123186016366592,0,1
5,15,195,"SELL $TSLA

apparently a good choice ... https://t.co/JudZdtEzzW",2019-11-26 17:57:03.000000,Umbisam,0,0.7,1199401697430396928,0,1
6,18,198,"RT @NorbertElekes: Tesla's new electric pickup: Cybertruck

6 seats
autopilot
2-meter bed
air suspension
air compressor
17"" touchscreen
bul…",2019-11-26 17:56:28.000000,F75,640,0.13636363636363635,1199401552504590338,0,1
7,22,5629,"Arb spread on $FIT so wide could drive a truck thru it.

Currently yielding 34%, with only a 75% chance of deal completion.

And this includes $FB willing to buy it in the small chance the $GOOGL gets blocked.",2019-12-16 19:38:48.000000,The People's Hedge Fund Manager,0,0.05000000000000001,1206675063904382976,0,1
8,23,5632,#estate asset watch - large cap in trading volume on Monday - $DHR $AAPL $TSLA $BA $AMZN $BABA $ROKU $MSFT $FB $AMD $MU $NVDA $AMRN $UBER $BAC $GOOG $GOOGL $NFLX $BMY $JPM $UNH $SHOP $DIS $ADBE $AVGO $HD $C $AXSM $MA $WFC $CSCO $V $CMCSA $CRM $PFE $HUM $IFF $ORCL $NKE $FDX $FIS https://t.co/4b0xk8n91J,2019-12-16 19:31:09.000000,TheBurdetteLawFirm,0,0.21428571428571427,1206673138332946439,0,1
9,25,203,Really like to see this hold under $330.80 level. $TSLA,2019-11-26 17:55:18.000000,AJ,0,0.2,1199401258190344198,0,1
10,26,204,$TSLA is below $330. Looking attractive to add more.,2019-11-26 17:55:17.000000,CJ,0,0.65,1199401254478319617,0,1
11,28,206,"RT @SamuelCChristo: An enthusiastic young VP of a @Ford subsidiary challenges @elonmusk to an F150 vs #Cybertruck face off. Elon accepts, F…",2019-11-26 17:55:12.000000,Cy,126,0.35,1199401233527775237,0,1
12,30,208,Commission-free trading! Sign me up! Use my link to open an account in the next 24 hours and Webull will give you a #free stock! Make a deposit and receive an additional stock. $acb $cgc $apha $aapl $tsla https://t.co/a3tZNZOfWn,2019-11-26 17:54:43.000000,CORTEXifan,0,0.16666666666666666,1199401110945095681,0,1
13,34,212,$TSLAQ $TSLA It looks like the Elon's mad low orbit circlejerk pumping flight is about to come crashing down. Tesla below $330.,2019-11-26 17:53:55.000000,hullutimo,0,-0.2601851851851852,1199400911858094080,0,1
14,35,213,After receiving a pair of extension cables from @Abstract_Ocean I was able to finally install the rear puddle lights on my @Tesla #Model3. I really liked the way they turned out! $tsla #tsla https://t.co/hMaAP488jS,2019-11-26 17:53:02.000000,Dan Burkland,0,0.4166666666666667,1199400689904111619,0,1
15,37,215,Big $tsla upgrade coming tomorrow. Head fake today.,2019-11-26 17:52:18.000000,facebookipoflop,0,-0.25,1199400502661931010,0,1
16,38,216,"RT @vincent13031925: When Tesla was asking $1K deposit for the Model 3, Wallst was bitching about #Tesla received billions of free cash wit…",2019-11-26 17:52:11.000000,Ins4n3,45,0.4,1199400475721961473,0,1
17,39,217,@NickStalburg @PollsTesla That's harsh but not unfair considering Mark is short since $TSLA hit 120,2019-11-26 17:52:04.000000,Tom,0,0.016666666666666663,1199400445124497416,0,-1
18,41,4060,"Hopefully you paid in full already. 

$TSLA #TeslaServiceIssues https://t.co/06l2VPRLOB",2019-12-12 12:50:21.000000,Suspected Saboteur,0,0.35,1205122722109493249,0,1
19,42,220,Guess all those $TSLA $100 reservations 😂 (NOT orders) for a vehicle that will never be built and that joke of an apples-oranges comparison to $F don’t mean squat. Down another more than 2% today. LMAO,2019-11-26 17:51:30.000000,Anastasia,0,0.1579861111111111,1199400301515681792,0,-1
20,47,4063,"$SSTU 52 week high. New highs for last 3 months. #support at 0.51 #Watchlist #stocks #daytrader 

$BUKS $CRON $GE $TSLA $CRON $TLRY #PBIIO https://t.co/cFiYFBxewj",2019-12-12 12:48:45.000000,Flippedtrade,0,0.0987878787878788,1205122318697193472,0,1
21,50,228,$TSLA needs bad news. Seems the stock did better when everyone attacked it every day.,2019-11-26 17:49:26.000000,squawksquare,0,-0.09999999999999992,1199399783967932422,0,1
22,53,231,"$TTCM
Wall Street top pick today🚀🚀

$TSLA $SPCE $EYEG $GORO $IMAX $SOLO $VRSK $IAG $MCS $ABEV $KO $BLDP $CGC $CDR $MVBF $NEPT $SMMF $LYG $FB $SNAP  #business #trade #markets #Stocks #Forex #Equities #Bonds #NYSE #NASDAQ #SeekingAlpha #bitcoin #cryptocurrency $RTON #CryptoNewsro https://t.co/FFKNN86VFc",2019-11-26 17:49:08.000000,Alan Portell,0,0.5,1199399708009156611,0,1
23,54,4066,RT @Sandro_power: $TSLA just another win for my Group for 100% gains in $TSLA this week. I keep my group in the best stocks possible in thi…,2019-12-12 12:47:42.000000,cmmjz,25,0.6,1205122053956947968,0,1
24,55,5811,$TSLA is now steadily producing and shipping made-in-China Model 3 out of Gigafactory 3 https://t.co/zf8kanXGwC via @FredericLambert,2019-12-17 11:06:26.000000,squawksquare,0,0.16666666666666666,1206908508622508032,0,1
25,56,235,"RT @SamuelCChristo: An enthusiastic young VP of a @Ford subsidiary challenges @elonmusk to an F150 vs #Cybertruck face off. Elon accepts, F…",2019-11-26 17:48:50.000000,Stellan Svensson,126,0.35,1199399632310288385,0,1
26,59,239,"""sledgehammer the door AFTER sending the steel ball into the window.""  Yeah, sure @elonmusk   $TSLA shares?  Down $7.29 and I'mma get short!",2019-11-26 17:47:50.000000,Sascha Illyvich,0,0.1148148148148148,1199399379058204673,0,1
27,60,240,$TSLA could be first close below 21 ema since early Oct. might be headed back to 300,2019-11-26 17:47:47.000000,Jason,0,0.11666666666666665,1199399366101913600,0,1
